trial_nr	onset	event_type	phase	response	nr_frames	rating_type	face_id	repetition	session	rating	onset_abs	duration
44.0	174.58713753066854	face	0.0		147	attractiveness	101	1.0	1		478.1597832307825	1.2334642988234918
44.0	175.82060182949203	rating	1.0		50	attractiveness	101	1.0	1		479.393247529606	0.4250450973668194
44.0	176.24564692685885	fix	2.0		60	attractiveness	101	1.0	1	1.2400000000000002	479.81829262697283	0.5167539434537503
45.0	176.7624008703126	face	0.0		147	attractiveness	087	1.0	1		480.3350465704266	1.2334646006800085
45.0	177.9958654709926	rating	1.0		68	attractiveness	087	1.0	1		481.5685111711066	0.5750641747001737
45.0	178.5709296456928	fix	2.0		60	attractiveness	087	1.0	1	1.4800000000000004	482.14357534580677	0.5167470007534121
46.0	179.0876766464462	face	0.0		147	attractiveness	061	1.0	1		482.6603223465602	1.2334763730850682
46.0	180.32115301953127	rating	1.0		129	attractiveness	061	1.0	1		483.89379871964525	1.0834560883256472
46.0	181.4046091078569	fix	2.0		60	attractiveness	061	1.0	1	0.03000000000000025	484.9772548079709	0.5167512267448728
47.0	181.9213603346018	face	0.0		147	attractiveness	005	1.0	1		485.49400603471577	1.2334552431273096
47.0	183.1548155777291	rating	1.0		195	attractiveness	005	1.0	1		486.7274612778431	1.6335304657768575
47.0	184.78834604350595	fix	2.0		60	attractiveness	005	1.0	1	-3.91	488.36099174361993	0.5167527360276836
48.0	185.30509877953364	face	0.0		147	attractiveness	038	1.0	1		488.8777444796476	1.2334630913971978
48.0	186.53856187093083	rating	1.0		105	attractiveness	038	1.0	1		490.1112075710448	0.8834417199543623
48.0	187.4220035908852	fix	2.0		60	attractiveness	038	1.0	1	-3.7199999999999998	490.9946492909992	0.5167491137492561
49.0	187.93875270463445	face	0.0		147	attractiveness	117	1.0	1		491.51139840474843	1.2334594691189977
49.0	189.17221217375345	rating	1.0		189	attractiveness	117	1.0	1		492.74485787386743	1.5835237041901564
49.0	190.7557358779436	fix	2.0		60	attractiveness	117	1.0	1	-2.9	494.3283815780576	0.5167533397407169
50.0	191.27248921768432	face	0.0		147	attractiveness	009	1.0	1		494.8451349177983	1.2334621858276478
50.0	192.50595140351197	rating	1.0		61	attractiveness	009	1.0	1		496.07859710362595	0.5167261726523975
50.0	193.02267757616437	fix	2.0		60	attractiveness	009	1.0	1	1.0999999999999996	496.59532327627835	0.5167512267448728
51.0	193.53942880290924	face	0.0		147	attractiveness	137	1.0	1		497.1120745030232	1.233461883971131
51.0	194.77289068688037	rating	1.0		64	attractiveness	137	1.0	1		498.34553638699435	0.5417280441629373
51.0	195.3146187310433	fix	2.0		60	attractiveness	137	1.0	1	-2.26	498.8872644311573	0.5167524341711669
52.0	195.83137116521448	face	0.0		147	attractiveness	136	1.0	1		499.40401686532846	1.2334636951104585
52.0	197.06483486032494	rating	1.0		135	attractiveness	136	1.0	1		500.6374805604389	1.1334664721905483
52.0	198.19830133251548	fix	2.0		60	attractiveness	136	1.0	1	-2.79	501.77094703262946	0.5167524341709395
53.0	198.71505376668642	face	0.0		147	attractiveness	124	1.0	1		502.2876994668004	1.2334938807643994
53.0	199.94854764745082	rating	1.0		122	attractiveness	124	1.0	1		503.5211933475648	1.0250882024804469
53.0	200.97363584993127	fix	2.0		60	attractiveness	124	1.0	1	3.75	504.54628155004525	0.5167530378842002
54.0	201.49038888781547	face	0.0		147	attractiveness	141	1.0	1		505.06303458792945	1.233461883971131
54.0	202.7238507717866	rating	1.0		75	attractiveness	141	1.0	1		506.2964964719006	0.6334199862837977
54.0	203.3572707580704	fix	2.0		60	attractiveness	141	1.0	1	0.21999999999999975	506.9299164581844	0.5167415673356572
55.0	203.87401232540606	face	0.0		147	attractiveness	099	1.0	1		507.44665802552004	1.2334582616927037
55.0	205.10747058709876	rating	1.0		59	attractiveness	099	1.0	1		508.68011628721274	0.500058862025071
55.0	205.60752944912383	fix	2.0		60	attractiveness	099	1.0	1	0.0	509.1801751492378	0.5167521323146502
56.0	206.12428158143848	face	0.0		147	attractiveness	006	1.0	1		509.69692728155246	1.2334621858276478
56.0	207.35774376726613	rating	1.0		64	attractiveness	006	1.0	1		510.9303894673801	0.5417316664411373
