173.2085 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-118.jpg'
173.2420 	DATA 	Keypress: t
173.9420 	DATA 	Keypress: t
174.6420 	DATA 	Keypress: t
175.3420 	DATA 	Keypress: t
176.0419 	DATA 	Keypress: t
176.7419 	DATA 	Keypress: t
177.4419 	DATA 	Keypress: t
177.5918 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
177.5918 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-9.jpg'
178.1419 	DATA 	Keypress: t
178.8419 	DATA 	Keypress: t
179.5419 	DATA 	Keypress: t
180.2419 	DATA 	Keypress: t
180.9840 	DATA 	Keypress: t
180.9918 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
180.9918 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-66.jpg'
181.6419 	DATA 	Keypress: t
182.3419 	DATA 	Keypress: t
183.0419 	DATA 	Keypress: t
183.7419 	DATA 	Keypress: t
184.3917 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
184.3917 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-13.jpg'
184.4419 	DATA 	Keypress: t
185.1419 	DATA 	Keypress: t
185.8418 	DATA 	Keypress: t
186.5418 	DATA 	Keypress: t
186.7917 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
186.7917 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-36.jpg'
187.2418 	DATA 	Keypress: t
187.9418 	DATA 	Keypress: t
188.6418 	DATA 	Keypress: t
189.3418 	DATA 	Keypress: t
190.0418 	DATA 	Keypress: t
190.7450 	DATA 	Keypress: t
191.2000 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
191.2000 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-105.jpg'
191.4418 	DATA 	Keypress: t
192.1418 	DATA 	Keypress: t
192.8418 	DATA 	Keypress: t
193.5418 	DATA 	Keypress: t
194.2418 	DATA 	Keypress: t
194.9417 	DATA 	Keypress: t
195.5999 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
195.5999 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-50.jpg'
195.6418 	DATA 	Keypress: t
196.3417 	DATA 	Keypress: t
197.0417 	DATA 	Keypress: t
197.7417 	DATA 	Keypress: t
197.9916 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
197.9916 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-50.jpg'
198.4417 	DATA 	Keypress: t
199.1417 	DATA 	Keypress: t
199.8417 	DATA 	Keypress: t
200.3336 	DATA 	Keypress: b
200.3915 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
200.3915 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-141.jpg'
200.5417 	DATA 	Keypress: t
201.2417 	DATA 	Keypress: t
201.9417 	DATA 	Keypress: t
202.6416 	DATA 	Keypress: t
203.3417 	DATA 	Keypress: t
204.0416 	DATA 	Keypress: t
204.8260 	DATA 	Keypress: t
204.8332 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
204.8332 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-108.jpg'
205.4416 	DATA 	Keypress: t
206.1416 	DATA 	Keypress: t
206.8416 	DATA 	Keypress: t
207.2165 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
207.2165 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-138.jpg'
207.5416 	DATA 	Keypress: t
208.2416 	DATA 	Keypress: t
208.9416 	DATA 	Keypress: t
209.5998 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
209.5998 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-6.jpg'
209.6416 	DATA 	Keypress: t
210.3416 	DATA 	Keypress: t
211.0416 	DATA 	Keypress: t
211.7415 	DATA 	Keypress: t
212.4415 	DATA 	Keypress: t
213.1415 	DATA 	Keypress: t
213.8415 	DATA 	Keypress: t
213.9997 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
213.9997 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-96.jpg'
214.5415 	DATA 	Keypress: t
215.2415 	DATA 	Keypress: t
215.9415 	DATA 	Keypress: t
216.6415 	DATA 	Keypress: t
217.4207 	DATA 	Keypress: t
217.4247 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
217.4247 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-128.jpg'
218.0415 	DATA 	Keypress: t
218.7415 	DATA 	Keypress: t
219.4414 	DATA 	Keypress: t
219.7914 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
219.7914 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-129.jpg'
220.1415 	DATA 	Keypress: t
220.8414 	DATA 	Keypress: t
221.5414 	DATA 	Keypress: t
222.1913 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
222.1913 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\car\\car-98.jpg'
222.2414 	DATA 	Keypress: t
222.9414 	DATA 	Keypress: t
223.6414 	DATA 	Keypress: t
224.3414 	DATA 	Keypress: t
224.5913 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
224.5913 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-23.jpg'
225.0414 	DATA 	Keypress: t
225.7414 	DATA 	Keypress: t
226.4414 	DATA 	Keypress: t
227.1414 	DATA 	Keypress: t
227.8414 	DATA 	Keypress: t
228.5414 	DATA 	Keypress: t
229.2413 	DATA 	Keypress: t
229.9413 	DATA 	Keypress: t
230.6413 	DATA 	Keypress: t
231.3413 	DATA 	Keypress: t
231.9912 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
231.9912 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-30.jpg'
232.0413 	DATA 	Keypress: t
232.7413 	DATA 	Keypress: t
233.4413 	DATA 	Keypress: t
234.1413 	DATA 	Keypress: t
234.3911 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
234.3911 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-42.jpg'
234.8413 	DATA 	Keypress: t
235.5413 	DATA 	Keypress: t
236.2413 	DATA 	Keypress: t
236.9413 	DATA 	Keypress: t
237.6412 	DATA 	Keypress: t
238.3412 	DATA 	Keypress: t
239.0412 	DATA 	Keypress: t
239.7886 	DATA 	Keypress: t
239.7911 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
239.7911 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\number\\number-20.jpg'
240.4412 	DATA 	Keypress: t
241.1412 	DATA 	Keypress: t
241.8412 	DATA 	Keypress: t
242.1994 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
242.1994 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\house\\house-27.jpg'
242.5412 	DATA 	Keypress: t
243.2412 	DATA 	Keypress: t
243.9412 	DATA 	Keypress: t
244.6412 	DATA 	Keypress: t
245.3412 	DATA 	Keypress: t
246.0411 	DATA 	Keypress: t
246.5910 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
246.5910 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-55.jpg'
246.7411 	DATA 	Keypress: t
247.4411 	DATA 	Keypress: t
248.1411 	DATA 	Keypress: t
248.8411 	DATA 	Keypress: t
248.9910 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
248.9910 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-65.jpg'
249.5411 	DATA 	Keypress: t
250.2411 	DATA 	Keypress: t
250.9493 	DATA 	Keypress: t
251.3826 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
251.3826 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\adult\\adult-4.jpg'
251.6411 	DATA 	Keypress: t
252.3411 	DATA 	Keypress: t
253.0411 	DATA 	Keypress: t
253.7411 	DATA 	Keypress: t
254.4411 	DATA 	Keypress: t
255.1410 	DATA 	Keypress: t
255.7825 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
255.7825 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-130.jpg'
255.8410 	DATA 	Keypress: t
256.5410 	DATA 	Keypress: t
257.2409 	DATA 	Keypress: t
257.9409 	DATA 	Keypress: t
258.1908 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
258.1908 	EXP 	unnamed ImageStim: image = '..\\..\\stimuli\\fLoc\\stimuli\\limb\\limb-8.jpg'
258.6409 	DATA 	Keypress: t
259.3409 	DATA 	Keypress: t
260.0409 	DATA 	Keypress: t
260.7409 	DATA 	Keypress: t
261.4409 	DATA 	Keypress: t
262.1410 	DATA 	Keypress: t
262.8410 	DATA 	Keypress: t
263.5409 	DATA 	Keypress: t
264.2409 	DATA 	Keypress: t
264.9409 	DATA 	Keypress: t
265.6409 	DATA 	Keypress: t
266.3409 	DATA 	Keypress: t
267.0409 	DATA 	Keypress: t
267.7409 	DATA 	Keypress: t
268.4409 	DATA 	Keypress: t
269.1409 	DATA 	Keypress: t
269.8409 	DATA 	Keypress: t
270.5408 	EXP 	window1: recordFrameIntervals = False
270.8948 	EXP 	window1: mouseVisible = True
