257.9796 	DATA 	Keypress: t
258.6796 	DATA 	Keypress: t
259.3796 	DATA 	Keypress: t
260.0796 	DATA 	Keypress: t
260.7796 	DATA 	Keypress: t
261.4795 	DATA 	Keypress: t
262.1795 	DATA 	Keypress: t
262.8795 	DATA 	Keypress: t
263.5795 	DATA 	Keypress: t
264.2795 	DATA 	Keypress: t
264.9794 	DATA 	Keypress: t
265.6794 	DATA 	Keypress: t
265.6877 	EXP 	window1: recordFrameIntervals = False
266.0333 	EXP 	window1: mouseVisible = True
